,xy,yz,xz
0,"[[-0.06835938 -0.08476562]
 [-0.01171875 -0.03007812]
 [-0.01171875  0.03242188]
 [ 0.04882812  0.07148438]
 [ 0.04296875  0.0109375 ]
 [ 0.          0.        ]
 [-0.08723958 -0.05078125]
 [ 0.02799479 -0.00390625]
 [ 0.03190104  0.04492188]
 [-0.03255208 -0.04101562]
 [ 0.02799479  0.00195312]
 [ 0.03190104  0.04882812]
 [-0.03027344 -0.02832031]
 [-0.02832031  0.02441406]
 [ 0.02832031 -0.02441406]
 [ 0.03027344  0.02832031]
 [-0.03027344 -0.02832031]
 [-0.02832031  0.02441406]
 [ 0.02832031 -0.02441406]
 [ 0.03027344  0.02832031]
 [ 0.          0.        ]
 [ 0.02832031 -0.0078125 ]
 [-0.02832031  0.0078125 ]
 [ 0.02226562 -0.0734375 ]
 [ 0.02226562 -0.01484375]
 [ 0.02421875  0.028125  ]
 [-0.034375    0.00664062]]","[[-0.08476562  0.0875    ]
 [-0.03007812  0.0640625 ]
 [ 0.03242188 -0.00234375]
 [ 0.07148438  0.02695313]
 [ 0.0109375  -0.17617187]
 [ 0.          0.        ]
 [-0.05078125  0.14485677]
 [-0.00390625  0.08626302]
 [ 0.04492188  0.05110677]
 [-0.04101562 -0.0719401 ]
 [ 0.00195312 -0.09733073]
 [ 0.04882812 -0.11295573]
 [-0.02832031  0.16894531]
 [ 0.02441406  0.12011719]
 [-0.02441406 -0.19628906]
 [ 0.02832031 -0.09277344]
 [-0.02832031  0.16894531]
 [ 0.02441406  0.12011719]
 [-0.02441406 -0.19628906]
 [ 0.02832031 -0.09277344]
 [ 0.          0.        ]
 [-0.0078125   0.12695312]
 [ 0.0078125  -0.12695312]
 [-0.0734375   0.17265625]
 [-0.01484375  0.10039063]
 [ 0.028125    0.1296875 ]
 [ 0.00664062 -0.16914062]]","[[-0.06835938  0.0875    ]
 [-0.01171875  0.0640625 ]
 [-0.01171875 -0.00234375]
 [ 0.04882812  0.02695313]
 [ 0.04296875 -0.17617187]
 [ 0.          0.        ]
 [-0.08723958  0.14485677]
 [ 0.02799479  0.08626302]
 [ 0.03190104  0.05110677]
 [-0.03255208 -0.0719401 ]
 [ 0.02799479 -0.09733073]
 [ 0.03190104 -0.11295573]
 [-0.03027344  0.16894531]
 [-0.02832031  0.12011719]
 [ 0.02832031 -0.19628906]
 [ 0.03027344 -0.09277344]
 [-0.03027344  0.16894531]
 [-0.02832031  0.12011719]
 [ 0.02832031 -0.19628906]
 [ 0.03027344 -0.09277344]
 [ 0.          0.        ]
 [ 0.02832031  0.12695312]
 [-0.02832031 -0.12695312]
 [ 0.02226562  0.17265625]
 [ 0.02226562  0.10039063]
 [ 0.02421875  0.1296875 ]
 [-0.034375   -0.16914062]]"
1,"[[-0.034375    0.05351562]
 [ 0.          0.        ]
 [-0.02604167  0.01367188]
 [-0.02604167  0.04492188]
 [-0.02408854  0.09960938]
 [-0.02604167 -0.0078125 ]
 [-0.02604167  0.05664062]
 [ 0.03450521  0.11523438]
 [-0.02604167  0.05078125]
 [-0.02604167  0.02539062]
 [ 0.03255208  0.0703125 ]
 [ 0.03450521  0.11328125]
 [ 0.02669271 -0.03125   ]
 [ 0.02864583  0.01757812]
 [ 0.03255208  0.06835938]
 [ 0.03450521  0.1171875 ]
 [-0.08268229 -0.06054688]
 [ 0.11367188  0.11875   ]
 [ 0.11367188  0.12851562]
 [ 0.115625    0.16367187]]","[[ 0.05351562 -0.23359375]
 [ 0.          0.        ]
 [ 0.01367188  0.09342448]
 [ 0.04492188  0.2047526 ]
 [ 0.09960938  0.15983073]
 [-0.0078125   0.22428385]
 [ 0.05664062  0.13248698]
 [ 0.11523438 -0.01204427]
 [ 0.05078125  0.16178385]
 [ 0.02539062 -0.08040365]
 [ 0.0703125  -0.17220052]
 [ 0.11328125 -0.2405599 ]
 [-0.03125     0.05240885]
 [ 0.01757812  0.02897135]
 [ 0.06835938 -0.02571615]
 [ 0.1171875  -0.10188802]
 [-0.06054688  0.2516276 ]
 [ 0.11875    -0.4359375 ]
 [ 0.12851562 -0.36757812]
 [ 0.16367187 -0.44375   ]]","[[-0.034375   -0.23359375]
 [ 0.          0.        ]
 [-0.02604167  0.09342448]
 [-0.02604167  0.2047526 ]
 [-0.02408854  0.15983073]
 [-0.02604167  0.22428385]
 [-0.02604167  0.13248698]
 [ 0.03450521 -0.01204427]
 [-0.02604167  0.16178385]
 [-0.02604167 -0.08040365]
 [ 0.03255208 -0.17220052]
 [ 0.03450521 -0.2405599 ]
 [ 0.02669271  0.05240885]
 [ 0.02864583  0.02897135]
 [ 0.03255208 -0.02571615]
 [ 0.03450521 -0.10188802]
 [-0.08268229  0.2516276 ]
 [ 0.11367188 -0.4359375 ]
 [ 0.11367188 -0.36757812]
 [ 0.115625   -0.44375   ]]"
2,"[[ 0.08765625  0.2803125 ]
 [ 0.14039062  0.319375  ]
 [ 0.09351563  0.37796875]
 [-0.01        0.23539062]
 [ 0.03882812  0.28421875]
 [ 0.04078125  0.335     ]
 [-0.01        0.288125  ]
 [ 0.04078125  0.33109375]
 [ 0.04664062  0.48734375]
 [ 0.04664062  0.53226562]
 [ 0.04664062  0.53617187]]","[[ 0.2803125  -0.55609375]
 [ 0.319375   -0.59320313]
 [ 0.37796875 -0.51507813]
 [ 0.23539062 -0.5678125 ]
 [ 0.28421875 -0.53070313]
 [ 0.335      -0.49359375]
 [ 0.288125   -0.5053125 ]
 [ 0.33109375 -0.54828125]
 [ 0.48734375 -0.77679688]
 [ 0.53226562 -0.79046875]
 [ 0.53617187 -0.76703125]]","[[ 0.08765625 -0.55609375]
 [ 0.14039062 -0.59320313]
 [ 0.09351563 -0.51507813]
 [-0.01       -0.5678125 ]
 [ 0.03882812 -0.53070313]
 [ 0.04078125 -0.49359375]
 [-0.01       -0.5053125 ]
 [ 0.04078125 -0.54828125]
 [ 0.04664062 -0.77679688]
 [ 0.04664062 -0.79046875]
 [ 0.04664062 -0.76703125]]"
3,"[[-0.0172631   0.47996472]
 [-0.07390373  0.53269909]
 [ 0.0374244   0.43308972]
 [-0.0172631   0.41941784]
 [ 0.04133065  0.46043347]
 [ 0.0374244   0.39988659]
 [ 0.21125252  0.44480847]
 [ 0.14875252  0.41551159]
 [ 0.21125252  0.45652722]
 [ 0.21906502  0.50535534]]","[[ 0.47996472 -0.10748488]
 [ 0.53269909 -0.02154738]
 [ 0.43308972 -0.05084425]
 [ 0.41941784 -0.2266255 ]
 [ 0.46043347 -0.2578755 ]
 [ 0.39988659 -0.33014113]
 [ 0.44480847 -0.23248488]
 [ 0.41551159 -0.156313  ]
 [ 0.45652722 -0.1328755 ]
 [ 0.50535534 -0.09185988]]","[[-0.0172631  -0.10748488]
 [-0.07390373 -0.02154738]
 [ 0.0374244  -0.05084425]
 [-0.0172631  -0.2266255 ]
 [ 0.04133065 -0.2578755 ]
 [ 0.0374244  -0.33014113]
 [ 0.21125252 -0.23248488]
 [ 0.14875252 -0.156313  ]
 [ 0.21125252 -0.1328755 ]
 [ 0.21906502 -0.09185988]]"
4,"[[ 0.01327515  0.57348633]
 [ 0.01913452  0.63208008]
 [-0.03359985  0.68676758]
 [-0.1546936   0.54614258]
 [-0.04141235  0.5871582 ]
 [-0.09414673  0.64575195]
 [-0.09805298  0.59692383]
 [-0.2093811   0.46020508]
 [-0.15664673  0.5012207 ]
 [-0.2093811   0.41137695]
 [-0.2093811   0.45825195]
 [-0.2093811   0.50512695]
 [-0.2093811   0.41333008]
 [-0.2093811   0.4621582 ]
 [-0.2093811   0.5090332 ]
 [ 0.06210327  0.50317383]
 [-0.09414673  0.6418457 ]
 [ 0.79257202 -1.1784668 ]
 [ 0.81991577 -1.1784668 ]
 [ 0.84921265 -1.1784668 ]
 [ 0.8765564  -1.1784668 ]
 [ 0.81991577 -1.1784668 ]
 [ 0.8765564  -1.1784668 ]
 [ 0.79257202 -1.1784668 ]
 [ 0.81991577 -1.1784668 ]
 [ 0.8453064  -1.1784668 ]]","[[ 0.57348633 -0.2250061 ]
 [ 0.63208008 -0.1078186 ]
 [ 0.68676758  0.07577515]
 [ 0.54614258 -0.1625061 ]
 [ 0.5871582  -0.1468811 ]
 [ 0.64575195  0.00741577]
 [ 0.59692383 -0.1000061 ]
 [ 0.46020508 -0.07852173]
 [ 0.5012207  -0.14883423]
 [ 0.41137695 -0.08828735]
 [ 0.45825195 -0.1156311 ]
 [ 0.50512695 -0.09414673]
 [ 0.41333008  0.07577515]
 [ 0.4621582   0.01913452]
 [ 0.5090332   0.00350952]
 [ 0.50317383 -0.31484985]
 [ 0.6418457   0.13241577]
 [-1.1784668   1.55233765]
 [-1.1784668   1.66171265]
 [-1.1784668   1.61483765]
 [-1.1784668   1.68710327]
 [-1.1784668   1.66952515]
 [-1.1784668   1.48788452]
 [-1.1784668  -1.7562561 ]
 [-1.1784668  -1.74453735]
 [-1.1784668  -1.68008423]]","[[ 0.01327515 -0.2250061 ]
 [ 0.01913452 -0.1078186 ]
 [-0.03359985  0.07577515]
 [-0.1546936  -0.1625061 ]
 [-0.04141235 -0.1468811 ]
 [-0.09414673  0.00741577]
 [-0.09805298 -0.1000061 ]
 [-0.2093811  -0.07852173]
 [-0.15664673 -0.14883423]
 [-0.2093811  -0.08828735]
 [-0.2093811  -0.1156311 ]
 [-0.2093811  -0.09414673]
 [-0.2093811   0.07577515]
 [-0.2093811   0.01913452]
 [-0.2093811   0.00350952]
 [ 0.06210327 -0.31484985]
 [-0.09414673  0.13241577]
 [ 0.79257202  1.55233765]
 [ 0.81991577  1.66171265]
 [ 0.84921265  1.61483765]
 [ 0.8765564   1.68710327]
 [ 0.81991577  1.66952515]
 [ 0.8765564   1.48788452]
 [ 0.79257202 -1.7562561 ]
 [ 0.81991577 -1.74453735]
 [ 0.8453064  -1.68008423]]"
5,"[[ 0.08163452 -0.6237793 ]
 [ 0.0406189  -0.68237305]
 [-0.01016235 -0.6003418 ]
 [-0.00430298 -0.5847168 ]
 [ 0.09921265 -0.73120117]
 [ 0.01913452  0.63012695]
 [ 0.0249939   0.67895508]
 [ 0.01913452  0.63208008]
 [ 0.0249939   0.6809082 ]]","[[-0.6237793  -1.40274048]
 [-0.68237305 -1.4828186 ]
 [-0.6003418  -1.46133423]
 [-0.5847168  -1.50430298]
 [-0.73120117 -1.5375061 ]
 [ 0.63012695 -0.1312561 ]
 [ 0.67895508 -0.1078186 ]
 [ 0.63208008 -0.09024048]
 [ 0.6809082  -0.03164673]]","[[ 0.08163452 -1.40274048]
 [ 0.0406189  -1.4828186 ]
 [-0.01016235 -1.46133423]
 [-0.00430298 -1.50430298]
 [ 0.09921265 -1.5375061 ]
 [ 0.01913452 -0.1312561 ]
 [ 0.0249939  -0.1078186 ]
 [ 0.01913452 -0.09024048]
 [ 0.0249939  -0.03164673]]"
6,"[[-5.96099854e-01  3.17626953e-01]
 [-5.58990479e-01  3.74267578e-01]
 [-5.17974854e-01  4.30908203e-01]
 [-5.78521729e-01  4.62158203e-01]
 [-5.58990479e-01  3.76220703e-01]
 [-5.68756104e-01  4.23095703e-01]
 [-6.07503255e-02  4.60611979e-01]
 [-1.17390951e-01  5.52408854e-01]
 [-2.15657552e-03  5.09440104e-01]
 [-1.17390951e-01  5.95377604e-01]
 [-1.17390951e-01  4.27408854e-01]
 [-6.07503255e-02  4.78190104e-01]
 [-2.15657552e-03  5.23111979e-01]
 [-5.87972005e-02  5.69986979e-01]
 [-6.07503255e-02  4.78190104e-01]
 [-6.07503255e-02  5.27018229e-01]
 [-2.03450521e-04  5.69986979e-01]
 [ 4.08121745e-02  3.78580729e-01]
 [ 4.08121745e-02  3.78580729e-01]
 [ 4.47184245e-02  4.25455729e-01]
 [-1.19222005e-02  3.82486979e-01]
 [-8.01595052e-03  4.27408854e-01]
 [-6.07503255e-02  4.78190104e-01]]","[[0.31762695 0.09335327]
 [0.37426758 0.1109314 ]
 [0.4309082  0.08944702]
 [0.4621582  0.15390015]
 [0.3762207  0.0718689 ]
 [0.4230957  0.04257202]
 [0.46061198 0.16886393]
 [0.55240885 0.14152018]
 [0.5094401  0.20402018]
 [0.5953776  0.12198893]
 [0.42740885 0.28605143]
 [0.4781901  0.36808268]
 [0.52311198 0.37980143]
 [0.56998698 0.30948893]
 [0.4781901  0.47550456]
 [0.52701823 0.46378581]
 [0.56998698 0.46378581]
 [0.37858073 0.39347331]
 [0.37858073 0.41495768]
 [0.42545573 0.43253581]
 [0.38248698 0.44034831]
 [0.42740885 0.51066081]
 [0.4781901  0.36222331]]","[[-5.96099854e-01  9.33532715e-02]
 [-5.58990479e-01  1.10931396e-01]
 [-5.17974854e-01  8.94470215e-02]
 [-5.78521729e-01  1.53900146e-01]
 [-5.58990479e-01  7.18688965e-02]
 [-5.68756104e-01  4.25720215e-02]
 [-6.07503255e-02  1.68863932e-01]
 [-1.17390951e-01  1.41520182e-01]
 [-2.15657552e-03  2.04020182e-01]
 [-1.17390951e-01  1.21988932e-01]
 [-1.17390951e-01  2.86051432e-01]
 [-6.07503255e-02  3.68082682e-01]
 [-2.15657552e-03  3.79801432e-01]
 [-5.87972005e-02  3.09488932e-01]
 [-6.07503255e-02  4.75504557e-01]
 [-6.07503255e-02  4.63785807e-01]
 [-2.03450521e-04  4.63785807e-01]
 [ 4.08121745e-02  3.93473307e-01]
 [ 4.08121745e-02  4.14957682e-01]
 [ 4.47184245e-02  4.32535807e-01]
 [-1.19222005e-02  4.40348307e-01]
 [-8.01595052e-03  5.10660807e-01]
 [-6.07503255e-02  3.62223307e-01]]"
7,"[[ 0.03299967  0.27311198]
 [-0.01778158  0.27115885]
 [ 0.08768717  0.3141276 ]
 [ 0.04081217  0.36686198]
 [ 0.09940592  0.4078776 ]
 [ 0.82987467 -1.30110677]
 [ 0.91190592 -1.30110677]
 [ 0.88456217 -1.30110677]
 [ 0.82987467 -1.30110677]
 [-0.00606283  0.4703776 ]
 [-0.00215658  0.52115885]
 [-0.0587972   0.56217448]]","[[ 0.27311198  0.63956706]
 [ 0.27115885  0.67277018]
 [ 0.3141276   0.64347331]
 [ 0.36686198  0.63175456]
 [ 0.4078776   0.62980143]
 [-1.30110677 -1.22176107]
 [-1.30110677 -1.21394857]
 [-1.30110677 -1.12605794]
 [-1.30110677 -1.11433919]
 [ 0.4703776   0.27433268]
 [ 0.52115885  0.34073893]
 [ 0.56217448  0.23722331]]","[[ 0.03299967  0.63956706]
 [-0.01778158  0.67277018]
 [ 0.08768717  0.64347331]
 [ 0.04081217  0.63175456]
 [ 0.09940592  0.62980143]
 [ 0.82987467 -1.22176107]
 [ 0.91190592 -1.21394857]
 [ 0.88456217 -1.12605794]
 [ 0.82987467 -1.11433919]
 [-0.00606283  0.27433268]
 [-0.00215658  0.34073893]
 [-0.0587972   0.23722331]]"
8,"[[ 0.65839844 -0.92903646]
 [ 0.62714844 -0.92903646]
 [ 0.59394531 -0.92903646]
 [ 0.56855469 -0.92903646]
 [ 0.65449219 -0.92903646]
 [ 0.60175781 -0.92903646]
 [ 0.62714844 -0.92903646]
 [ 0.65449219 -0.92903646]
 [ 0.54316406 -0.92903646]
 [ 0.62714844 -0.92903646]
 [ 0.60175781 -0.92903646]
 [-0.32402344  0.70377604]
 [-0.32207031  0.75455729]
 [-0.26542969  0.79752604]
 [-0.31621094  0.83463542]
 [-0.32792969  0.65494792]
 [-0.37675781  0.70182292]
 [-0.37480469  0.75455729]
 [-0.37285156  0.80143229]
 [-0.37089844  0.84244792]
 [-0.37480469  0.74283854]
 [-0.42753906  0.79361979]
 [-0.37675781  0.68229167]]","[[-0.92903646  2.00045573]
 [-0.92903646  2.00240885]
 [-0.92903646  2.04147135]
 [-0.92903646  2.07076823]
 [-0.92903646 -1.72415365]
 [-0.92903646 -1.56985677]
 [-0.92903646 -1.66165365]
 [-0.92903646 -1.67727865]
 [-0.92903646 -1.50735677]
 [-0.92903646 -1.53860677]
 [-0.92903646 -1.48782552]
 [ 0.70377604  0.31490885]
 [ 0.75455729  0.22311198]
 [ 0.79752604  0.23483073]
 [ 0.83463542  0.42428385]
 [ 0.65494792  0.34029948]
 [ 0.70182292  0.3735026 ]
 [ 0.75455729  0.31490885]
 [ 0.80143229  0.28561198]
 [ 0.84244792  0.36959635]
 [ 0.74283854  0.42623698]
 [ 0.79361979  0.40279948]
 [ 0.68229167  0.50436198]]","[[ 0.65839844  2.00045573]
 [ 0.62714844  2.00240885]
 [ 0.59394531  2.04147135]
 [ 0.56855469  2.07076823]
 [ 0.65449219 -1.72415365]
 [ 0.60175781 -1.56985677]
 [ 0.62714844 -1.66165365]
 [ 0.65449219 -1.67727865]
 [ 0.54316406 -1.50735677]
 [ 0.62714844 -1.53860677]
 [ 0.60175781 -1.48782552]
 [-0.32402344  0.31490885]
 [-0.32207031  0.22311198]
 [-0.26542969  0.23483073]
 [-0.31621094  0.42428385]
 [-0.32792969  0.34029948]
 [-0.37675781  0.3735026 ]
 [-0.37480469  0.31490885]
 [-0.37285156  0.28561198]
 [-0.37089844  0.36959635]
 [-0.37480469  0.42623698]
 [-0.42753906  0.40279948]
 [-0.37675781  0.50436198]]"
9,"[[-0.16311553  0.28515625]
 [-0.16116241  0.33203125]
 [-0.21194366  0.37890625]
 [-0.20999053  0.4296875 ]
 [-0.11233428  0.28125   ]
 [-0.16116241  0.33398438]
 [-0.21194366  0.38476562]
 [-0.20999053  0.4296875 ]
 [-0.06155303  0.27148438]
 [-0.05569366  0.30859375]
 [-0.04983428  0.33789062]
 [-0.26663116  0.42773438]
 [ 0.81930634 -1.34960938]
 [ 0.78805634 -1.34960938]
 [ 0.72946259 -1.34960938]
 [ 0.81540009 -1.34960938]
 [ 0.81930634 -1.34960938]]","[[ 0.28515625  0.09765625]
 [ 0.33203125  0.10351562]
 [ 0.37890625  0.05078125]
 [ 0.4296875   0.10546875]
 [ 0.28125     0.28710938]
 [ 0.33398438  0.21875   ]
 [ 0.38476562  0.16796875]
 [ 0.4296875   0.23242188]
 [ 0.27148438  0.3515625 ]
 [ 0.30859375  0.421875  ]
 [ 0.33789062  0.53320312]
 [ 0.42773438  0.3046875 ]
 [-1.34960938 -1.5859375 ]
 [-1.34960938 -1.62695312]
 [-1.34960938 -1.50390625]
 [-1.34960938 -1.71484375]
 [-1.34960938 -1.4296875 ]]","[[-0.16311553  0.09765625]
 [-0.16116241  0.10351562]
 [-0.21194366  0.05078125]
 [-0.20999053  0.10546875]
 [-0.11233428  0.28710938]
 [-0.16116241  0.21875   ]
 [-0.21194366  0.16796875]
 [-0.20999053  0.23242188]
 [-0.06155303  0.3515625 ]
 [-0.05569366  0.421875  ]
 [-0.04983428  0.53320312]
 [-0.26663116  0.3046875 ]
 [ 0.81930634 -1.5859375 ]
 [ 0.78805634 -1.62695312]
 [ 0.72946259 -1.50390625]
 [ 0.81540009 -1.71484375]
 [ 0.81930634 -1.4296875 ]]"
10,"[[-0.21389678  0.3203125 ]
 [-0.21194366  0.37109375]
 [-0.26663116  0.3203125 ]
 [-0.14944366  0.51171875]
 [-0.14553741  0.56640625]
 [-0.20413116  0.6171875 ]
 [-0.20999053  0.47265625]
 [-0.20803741  0.51953125]
 [-0.20608428  0.56640625]
 [-0.11726888 -0.00227865]
 [-0.06453451  0.04654948]
 [-0.06258138  0.09147135]
 [-0.06062826  0.13639323]
 [-0.06648763 -0.01009115]
 [-0.06453451  0.03678385]
 [-0.06258138  0.08365885]
 [-0.06062826  0.1344401 ]
 [-0.06648763 -0.02766927]
 [-0.06453451  0.02311198]
 [-0.11726888  0.0719401 ]
 [-0.06062826  0.1266276 ]]","[[ 0.3203125   0.43164062]
 [ 0.37109375  0.40429688]
 [ 0.3203125   0.44335938]
 [ 0.51171875 -0.0078125 ]
 [ 0.56640625  0.09375   ]
 [ 0.6171875   0.10351562]
 [ 0.47265625  0.05664062]
 [ 0.51953125  0.05273438]
 [ 0.56640625  0.04882812]
 [-0.00227865  0.09716797]
 [ 0.04654948  0.03271484]
 [ 0.09147135  0.05029297]
 [ 0.13639323  0.11865234]
 [-0.01009115  0.16943359]
 [ 0.03678385  0.17724609]
 [ 0.08365885  0.18115234]
 [ 0.1344401   0.13818359]
 [-0.02766927  0.30029297]
 [ 0.02311198  0.27880859]
 [ 0.0719401   0.27490234]
 [ 0.1266276   0.21630859]]","[[-0.21389678  0.43164062]
 [-0.21194366  0.40429688]
 [-0.26663116  0.44335938]
 [-0.14944366 -0.0078125 ]
 [-0.14553741  0.09375   ]
 [-0.20413116  0.10351562]
 [-0.20999053  0.05664062]
 [-0.20803741  0.05273438]
 [-0.20608428  0.04882812]
 [-0.11726888  0.09716797]
 [-0.06453451  0.03271484]
 [-0.06258138  0.05029297]
 [-0.06062826  0.11865234]
 [-0.06648763  0.16943359]
 [-0.06453451  0.17724609]
 [-0.06258138  0.18115234]
 [-0.06062826  0.13818359]
 [-0.06648763  0.30029297]
 [-0.06453451  0.27880859]
 [-0.11726888  0.27490234]
 [-0.06062826  0.21630859]]"
11,"[[-0.29384766  0.36772461]
 [-0.29384766  0.41655273]
 [-0.23720703  0.46342773]
 [-0.34462891  0.32670898]
 [-0.29384766  0.37749023]
 [-0.29384766  0.42436523]
 [-0.23720703  0.47124023]
 [ 0.79208984 -1.31000977]
 [ 0.76083984 -1.31000977]
 [ 0.72763672 -1.31000977]
 [ 0.72763672 -1.31000977]
 [-0.29384766  0.32280273]
 [-0.24111328  0.36772461]
 [-0.23916016  0.41655273]
 [-0.23720703  0.51030273]]","[[ 0.36772461 -0.20161133]
 [ 0.41655273 -0.17426758]
 [ 0.46342773 -0.16645508]
 [ 0.32670898 -0.10981445]
 [ 0.37749023 -0.0668457 ]
 [ 0.42436523 -0.0668457 ]
 [ 0.47124023 -0.03754883]
 [-1.31000977  1.73393555]
 [-1.31000977  1.8472168 ]
 [-1.31000977  1.80229492]
 [-1.31000977  1.89018555]
 [ 0.32280273  0.15385742]
 [ 0.36772461  0.1597168 ]
 [ 0.41655273  0.13823242]
 [ 0.51030273  0.14018555]]","[[-0.29384766 -0.20161133]
 [-0.29384766 -0.17426758]
 [-0.23720703 -0.16645508]
 [-0.34462891 -0.10981445]
 [-0.29384766 -0.0668457 ]
 [-0.29384766 -0.0668457 ]
 [-0.23720703 -0.03754883]
 [ 0.79208984  1.73393555]
 [ 0.76083984  1.8472168 ]
 [ 0.72763672  1.80229492]
 [ 0.72763672  1.89018555]
 [-0.29384766  0.15385742]
 [-0.24111328  0.1597168 ]
 [-0.23916016  0.13823242]
 [-0.23720703  0.14018555]]"
12,"[[-0.23720703  0.46147461]
 [-0.23720703  0.51420898]
 [-0.18251953  0.45756836]
 [-0.17861328  0.48881836]
 [-0.23525391  0.54741211]
 [-0.17275391  0.60600586]
 [-0.23134766  0.65678711]
 [-0.29384766  0.56499023]
 [-0.12197266  0.47709961]
 [ 0.70224609 -1.31000977]
 [ 0.72763672 -1.31000977]
 [ 0.73544922 -1.31000977]
 [ 0.79208984 -1.31000977]]","[[ 0.46147461  0.17338867]
 [ 0.51420898  0.10112305]
 [ 0.45756836  0.18510742]
 [ 0.48881836  0.29643555]
 [ 0.54741211  0.2378418 ]
 [ 0.60600586  0.0815918 ]
 [ 0.65678711  0.05620117]
 [ 0.56499023  0.04057617]
 [ 0.47709961  0.32963867]
 [-1.31000977 -1.84614258]
 [-1.31000977 -1.8168457 ]
 [-1.31000977 -1.72895508]
 [-1.31000977 -1.7699707 ]]","[[-0.23720703  0.17338867]
 [-0.23720703  0.10112305]
 [-0.18251953  0.18510742]
 [-0.17861328  0.29643555]
 [-0.23525391  0.2378418 ]
 [-0.17275391  0.0815918 ]
 [-0.23134766  0.05620117]
 [-0.29384766  0.04057617]
 [-0.12197266  0.32963867]
 [ 0.70224609 -1.84614258]
 [ 0.72763672 -1.8168457 ]
 [ 0.73544922 -1.72895508]
 [ 0.79208984 -1.7699707 ]]"
13,"[[ 0.6488598  -1.12642525]
 [ 0.67425042 -1.12642525]
 [ 0.69964105 -1.12642525]
 [ 0.67425042 -1.12642525]
 [ 0.69964105 -1.12642525]
 [-0.34723395  0.51419975]
 [-0.34723395  0.56107475]
 [-0.40192145  0.60599662]
 [-0.29059333  0.65482475]
 [-0.34723395  0.49857475]
 [-0.34723395  0.54740287]
 [-0.40192145  0.5884185 ]
 [-0.29449958  0.54740287]
 [-0.23590583  0.64896537]
 [-0.23199958  0.689981  ]
 [-0.29449958  0.53177787]
 [-0.23785895  0.5884185 ]
 [-0.23590583  0.6352935 ]
 [-0.23199958  0.68021537]
 [-0.34723395  0.69974662]
 [-0.45856208  0.6196685 ]
 [-0.18512458  0.59818412]]","[[-1.12642525e+00  1.65730574e+00]
 [-1.12642525e+00  1.61824324e+00]
 [-1.12642525e+00  1.51863387e+00]
 [-1.12642525e+00  1.72761824e+00]
 [-1.12642525e+00  1.62410262e+00]
 [ 5.14199747e-01 -1.68866132e-01]
 [ 5.61074747e-01 -1.39569257e-01]
 [ 6.05996622e-01 -1.16131757e-01]
 [ 6.54824747e-01 -2.07928632e-01]
 [ 4.98574747e-01  4.59776182e-02]
 [ 5.47402872e-01  3.62119932e-02]
 [ 5.88418497e-01  6.55088682e-02]
 [ 5.47402872e-01  1.86338682e-02]
 [ 6.48965372e-01 -1.06366132e-01]
 [ 6.89980997e-01 -8.97381757e-04]
 [ 5.31777872e-01  1.26055743e-01]
 [ 5.88418497e-01  4.79307432e-02]
 [ 6.35293497e-01  5.96494932e-02]
 [ 6.80215372e-01  7.13682432e-02]
 [ 6.99746622e-01 -2.56756757e-01]
 [ 6.19668497e-01  1.47540118e-01]
 [ 5.98184122e-01 -9.85536318e-02]]","[[ 6.48859797e-01  1.65730574e+00]
 [ 6.74250422e-01  1.61824324e+00]
 [ 6.99641047e-01  1.51863387e+00]
 [ 6.74250422e-01  1.72761824e+00]
 [ 6.99641047e-01  1.62410262e+00]
 [-3.47233953e-01 -1.68866132e-01]
 [-3.47233953e-01 -1.39569257e-01]
 [-4.01921453e-01 -1.16131757e-01]
 [-2.90593328e-01 -2.07928632e-01]
 [-3.47233953e-01  4.59776182e-02]
 [-3.47233953e-01  3.62119932e-02]
 [-4.01921453e-01  6.55088682e-02]
 [-2.94499578e-01  1.86338682e-02]
 [-2.35905828e-01 -1.06366132e-01]
 [-2.31999578e-01 -8.97381757e-04]
 [-2.94499578e-01  1.26055743e-01]
 [-2.37858953e-01  4.79307432e-02]
 [-2.35905828e-01  5.96494932e-02]
 [-2.31999578e-01  7.13682432e-02]
 [-3.47233953e-01 -2.56756757e-01]
 [-4.58562078e-01  1.47540118e-01]
 [-1.85124578e-01 -9.85536318e-02]]"
