,xy,yz,xz
0,"[[ 0.11607143  0.25279018]
 [ 0.13945313  0.34492188]
 [ 0.17857143  0.3016183 ]
 [ 0.14140625  0.39179688]
 [-0.03027344 -0.01367188]
 [ 0.03027344  0.01367188]
 [ 0.          0.        ]
 [ 0.02315848 -0.01618304]
 [-0.03152902  0.05022321]
 [ 0.02120536 -0.06305804]
 [-0.03152902  0.00530134]
 [ 0.01595052 -0.04557292]
 [ 0.01985677  0.00130208]
 [-0.03483073  0.04427083]
 [ 0.02706473  0.05217634]]","[[ 0.25279018 -0.39955357]
 [ 0.34492188 -0.47109375]
 [ 0.3016183  -0.34486607]
 [ 0.39179688 -0.4828125 ]
 [-0.01367188  0.09667969]
 [ 0.01367188 -0.09667969]
 [ 0.          0.        ]
 [-0.01618304  0.12081473]
 [ 0.05022321 -0.02566964]
 [-0.06305804  0.10714286]
 [ 0.00530134 -0.04129464]
 [-0.04557292 -0.02148438]
 [ 0.00130208  0.06640625]
 [ 0.04427083  0.18945312]
 [ 0.05217634 -0.20145089]]","[[ 0.11607143 -0.39955357]
 [ 0.13945313 -0.47109375]
 [ 0.17857143 -0.34486607]
 [ 0.14140625 -0.4828125 ]
 [-0.03027344  0.09667969]
 [ 0.03027344 -0.09667969]
 [ 0.          0.        ]
 [ 0.02315848  0.12081473]
 [-0.03152902 -0.02566964]
 [ 0.02120536  0.10714286]
 [-0.03152902 -0.04129464]
 [ 0.01595052 -0.02148438]
 [ 0.01985677  0.06640625]
 [-0.03483073  0.18945312]
 [ 0.02706473 -0.20145089]]"
1,"[[ 0.07063802 -0.05338542]
 [-0.03678385  0.00325521]
 [-0.03483073  0.05013021]
 [ 0.          0.00195312]
 [ 0.         -0.00195312]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.03841146 -0.02994792]
 [ 0.03841146  0.02669271]
 [-0.02018229 -0.01236979]
 [ 0.03841146  0.04231771]
 [ 0.03841146  0.07552083]
 [-0.21744792  0.40559896]
 [-0.21549479  0.34309896]
 [-0.15690104  0.45442708]
 [-0.15690104  0.34309896]
 [-0.15690104  0.38802083]
 [-0.15690104  0.43098958]
 [-0.15690104  0.47786458]
 [-0.15690104  0.34895833]
 [-0.15690104  0.39583333]
 [-0.15690104  0.44270833]
 [-0.15690104  0.48763021]
 [-0.10221354  0.25520833]
 [-0.04166667  0.34309896]]","[[-0.05338542 -0.05859375]
 [ 0.00325521 -0.08203125]
 [ 0.05013021 -0.09375   ]
 [ 0.00195312  0.04296875]
 [-0.00195312 -0.04296875]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [-0.02994792 -0.04882812]
 [ 0.02669271  0.00585938]
 [-0.01236979  0.05078125]
 [ 0.04231771  0.09960938]
 [ 0.07552083  0.00390625]
 [ 0.40559896 -0.35758464]
 [ 0.34309896 -0.42399089]
 [ 0.45442708 -0.35367839]
 [ 0.34309896 -0.13883464]
 [ 0.38802083 -0.16422526]
 [ 0.43098958 -0.19352214]
 [ 0.47786458 -0.20524089]
 [ 0.34895833 -0.01188151]
 [ 0.39583333 -0.03336589]
 [ 0.44270833 -0.03336589]
 [ 0.48763021 -0.07438151]
 [ 0.25520833 -0.01188151]
 [ 0.34309896 -0.07633464]]","[[ 0.07063802 -0.05859375]
 [-0.03678385 -0.08203125]
 [-0.03483073 -0.09375   ]
 [ 0.          0.04296875]
 [ 0.         -0.04296875]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.03841146 -0.04882812]
 [ 0.03841146  0.00585938]
 [-0.02018229  0.05078125]
 [ 0.03841146  0.09960938]
 [ 0.03841146  0.00390625]
 [-0.21744792 -0.35758464]
 [-0.21549479 -0.42399089]
 [-0.15690104 -0.35367839]
 [-0.15690104 -0.13883464]
 [-0.15690104 -0.16422526]
 [-0.15690104 -0.19352214]
 [-0.15690104 -0.20524089]
 [-0.15690104 -0.01188151]
 [-0.15690104 -0.03336589]
 [-0.15690104 -0.03336589]
 [-0.15690104 -0.07438151]
 [-0.10221354 -0.01188151]
 [-0.04166667 -0.07633464]]"
2,"[[-0.05696615  0.13009983]
 [-0.11165365  0.1593967 ]
 [-0.05696615  0.13009983]
 [-0.00032552  0.18674045]
 [-0.0061849   0.10275608]
 [-0.00227865  0.1515842 ]
 [-0.00032552  0.17306858]
 [-0.03742187 -0.10242188]
 [-0.03546875 -0.0575    ]
 [ 0.01726563 -0.12      ]
 [-0.03546875 -0.08484375]
 [-0.03546875  0.00304687]]","[[ 0.13009983  0.25889757]
 [ 0.1593967   0.33897569]
 [ 0.13009983  0.25889757]
 [ 0.18674045  0.19639757]
 [ 0.10275608  0.12803819]
 [ 0.1515842   0.11631944]
 [ 0.17306858  0.26671007]
 [-0.10242188  0.1884375 ]
 [-0.0575      0.20796875]
 [-0.12        0.26460938]
 [-0.08484375  0.32320313]
 [ 0.00304687  0.1259375 ]]","[[-5.69661458e-02  2.58897569e-01]
 [-1.11653646e-01  3.38975694e-01]
 [-5.69661458e-02  2.58897569e-01]
 [-3.25520833e-04  1.96397569e-01]
 [-6.18489583e-03  1.28038194e-01]
 [-2.27864583e-03  1.16319444e-01]
 [-3.25520833e-04  2.66710069e-01]
 [-3.74218750e-02  1.88437500e-01]
 [-3.54687500e-02  2.07968750e-01]
 [ 1.72656250e-02  2.64609375e-01]
 [-3.54687500e-02  3.23203125e-01]
 [-3.54687500e-02  1.25937500e-01]]"
3,"[[ 0.02898438  0.11242187]
 [ 0.0309375   0.15539062]
 [ 0.02507813  0.05773437]
 [-0.0315625   0.11242187]
 [ 0.01726563 -0.07507813]
 [ 0.07585938 -0.03796875]
 [ 0.023125    0.01671875]
 [ 0.02507813  0.06359375]
 [-0.039375   -0.1278125 ]
 [ 0.01726563 -0.08679688]
 [ 0.01921875 -0.041875  ]
 [ 0.023125    0.00890625]
 [ 0.02507813  0.06359375]
 [ 0.02898438  0.11046875]
 [ 0.09635417  0.10442708]
 [ 0.16080729  0.13958333]
 [ 0.16861979  0.18059896]
 [-0.07747396  0.00481771]
 [-0.07552083  0.05559896]
 [ 0.21940104  0.12786458]
 [ 0.22916667  0.17864583]
 [ 0.16080729  0.14348958]
 [ 0.10807292  0.19817708]
 [-0.07942708 -0.03033854]
 [-0.02278646  0.02044271]
 [ 0.09049479  0.05950521]
 [ 0.09635417  0.10052083]
 [-0.05224609 -0.04663086]]","[[ 0.11242187 -0.13578125]
 [ 0.15539062 -0.25882812]
 [ 0.05773437  0.04585938]
 [ 0.11242187 -0.01859375]
 [-0.07507813 -0.06742187]
 [-0.03796875  0.00289063]
 [ 0.01671875 -0.03226562]
 [ 0.06359375 -0.22171875]
 [-0.1278125   0.0321875 ]
 [-0.08679688  0.07710938]
 [-0.041875    0.08882813]
 [ 0.00890625  0.05953125]
 [ 0.06359375 -0.05570312]
 [ 0.11046875 -0.05765625]
 [ 0.10442708 -0.28619792]
 [ 0.13958333 -0.34283854]
 [ 0.18059896 -0.39361979]
 [ 0.00481771  0.06341146]
 [ 0.05559896  0.03606771]
 [ 0.12786458 -0.34088542]
 [ 0.17864583 -0.26276042]
 [ 0.14348958 -0.20807292]
 [ 0.19817708 -0.13580729]
 [-0.03033854 -0.02252604]
 [ 0.02044271 -0.09869792]
 [ 0.05950521 -0.17096354]
 [ 0.10052083 -0.34283854]
 [-0.04663086  0.06445312]]","[[ 0.02898438 -0.13578125]
 [ 0.0309375  -0.25882812]
 [ 0.02507813  0.04585938]
 [-0.0315625  -0.01859375]
 [ 0.01726563 -0.06742187]
 [ 0.07585938  0.00289063]
 [ 0.023125   -0.03226562]
 [ 0.02507813 -0.22171875]
 [-0.039375    0.0321875 ]
 [ 0.01726563  0.07710938]
 [ 0.01921875  0.08882813]
 [ 0.023125    0.05953125]
 [ 0.02507813 -0.05570312]
 [ 0.02898438 -0.05765625]
 [ 0.09635417 -0.28619792]
 [ 0.16080729 -0.34283854]
 [ 0.16861979 -0.39361979]
 [-0.07747396  0.06341146]
 [-0.07552083  0.03606771]
 [ 0.21940104 -0.34088542]
 [ 0.22916667 -0.26276042]
 [ 0.16080729 -0.20807292]
 [ 0.10807292 -0.13580729]
 [-0.07942708 -0.02252604]
 [-0.02278646 -0.09869792]
 [ 0.09049479 -0.17096354]
 [ 0.09635417 -0.34283854]
 [-0.05224609  0.06445312]]"
4,"[[ 0.00439453 -0.00170898]
 [ 0.00830078  0.06860352]
 [ 0.06884766  0.11743164]
 [-0.05224609 -0.07983398]
 [-0.05029297 -0.02709961]
 [ 0.00244141 -0.01342773]
 [ 0.06103516  0.02954102]
 [-0.05419922 -0.08569336]
 [ 0.00244141 -0.03491211]
 [ 0.00439453  0.01586914]
 [ 0.00830078  0.04516602]
 [ 0.06884766  0.06469727]
 [-0.07929687 -0.078125  ]
 [-0.07929687 -0.03710938]
 [ 0.028125   -0.02148438]
 [ 0.08867188  0.01171875]
 [ 0.04179688  0.125     ]
 [ 0.02539062  0.15039062]
 [ 0.04882812 -0.125     ]
 [ 0.0546875  -0.08203125]
 [ 0.04882812 -0.125     ]
 [ 0.15820312 -0.09765625]
 [ 0.10275136  0.10181726]
 [ 0.10665761  0.14478601]
 [ 0.05001698  0.19947351]
 [-0.00857677  0.04712976]]","[[-0.00170898  0.06445312]
 [ 0.06860352 -0.07226562]
 [ 0.11743164 -0.140625  ]
 [-0.07983398  0.18945312]
 [-0.02709961  0.18164062]
 [-0.01342773 -0.18945312]
 [ 0.02954102 -0.203125  ]
 [-0.08569336  0.01367188]
 [-0.03491211 -0.00976562]
 [ 0.01586914 -0.03710938]
 [ 0.04516602  0.06640625]
 [ 0.06469727  0.16796875]
 [-0.078125    0.203125  ]
 [-0.03710938  0.046875  ]
 [-0.02148438 -0.08203125]
 [ 0.01171875 -0.02734375]
 [ 0.125      -0.140625  ]
 [ 0.15039062  0.14160156]
 [-0.125      -0.13183594]
 [-0.08203125 -0.17285156]
 [-0.125      -0.10058594]
 [-0.09765625 -0.16894531]
 [ 0.10181726 -0.11175272]
 [ 0.14478601 -0.18401834]
 [ 0.19947351 -0.06487772]
 [ 0.04712976  0.14020041]]","[[ 0.00439453  0.06445312]
 [ 0.00830078 -0.07226562]
 [ 0.06884766 -0.140625  ]
 [-0.05224609  0.18945312]
 [-0.05029297  0.18164062]
 [ 0.00244141 -0.18945312]
 [ 0.06103516 -0.203125  ]
 [-0.05419922  0.01367188]
 [ 0.00244141 -0.00976562]
 [ 0.00439453 -0.03710938]
 [ 0.00830078  0.06640625]
 [ 0.06884766  0.16796875]
 [-0.07929687  0.203125  ]
 [-0.07929687  0.046875  ]
 [ 0.028125   -0.08203125]
 [ 0.08867188 -0.02734375]
 [ 0.04179688 -0.140625  ]
 [ 0.02539062  0.14160156]
 [ 0.04882812 -0.13183594]
 [ 0.0546875  -0.17285156]
 [ 0.04882812 -0.10058594]
 [ 0.15820312 -0.16894531]
 [ 0.10275136 -0.11175272]
 [ 0.10665761 -0.18401834]
 [ 0.05001698 -0.06487772]
 [-0.00857677  0.14020041]]"
5,"[[ 0.04806386  0.09986413]
 [ 0.04806386  0.15064538]
 [ 0.10861073  0.19556726]
 [ 0.09493886 -0.04857337]
 [ 0.04220448 -0.04662024]
 [ 0.09689198 -0.00365149]
 [ 0.05001698  0.18384851]
 [ 0.05197011  0.22095788]
 [-0.00857677  0.12134851]
 [ 0.05001698  0.17994226]
 [-0.00857677  0.23658288]
 [ 0.10275136  0.10181726]
 [ 0.10665761  0.14673913]
 [ 0.05001698  0.19166101]
 [-0.00857677  0.24439538]
 [-0.05219184  0.25227865]
 [-0.05219184  0.3108724 ]
 [-0.00141059  0.00423177]
 [ 0.05327691  0.06673177]
 [-0.00141059 -0.03092448]
 [-0.00141059  0.02376302]
 [ 0.00054253  0.06477865]
 [ 0.00249566  0.07845052]
 [-0.05219184 -0.01529948]
 [-0.00141059  0.03157552]
 [ 0.10079823  0.05103601]]","[[ 0.09986413  0.07574728]
 [ 0.15064538 -0.01409647]
 [ 0.19556726 -0.06097147]
 [-0.04857337 -0.26409647]
 [-0.04662024 -0.25237772]
 [-0.00365149 -0.28167459]
 [ 0.18384851 -0.30511209]
 [ 0.22095788 -0.37933084]
 [ 0.12134851 -0.41253397]
 [ 0.17994226 -0.33831522]
 [ 0.23658288 -0.26214334]
 [ 0.10181726 -0.14300272]
 [ 0.14673913 -0.15081522]
 [ 0.19166101 -0.22698709]
 [ 0.24439538 -0.16644022]
 [ 0.25227865 -0.30067274]
 [ 0.3108724  -0.19129774]
 [ 0.00423177 -0.36903212]
 [ 0.06673177 -0.24598524]
 [-0.03092448 -0.29481337]
 [ 0.02376302 -0.23036024]
 [ 0.06477865 -0.28700087]
 [ 0.07845052 -0.46473524]
 [-0.01529948 -0.15809462]
 [ 0.03157552 -0.15614149]
 [ 0.05103601  0.04449728]]","[[ 0.04806386  0.07574728]
 [ 0.04806386 -0.01409647]
 [ 0.10861073 -0.06097147]
 [ 0.09493886 -0.26409647]
 [ 0.04220448 -0.25237772]
 [ 0.09689198 -0.28167459]
 [ 0.05001698 -0.30511209]
 [ 0.05197011 -0.37933084]
 [-0.00857677 -0.41253397]
 [ 0.05001698 -0.33831522]
 [-0.00857677 -0.26214334]
 [ 0.10275136 -0.14300272]
 [ 0.10665761 -0.15081522]
 [ 0.05001698 -0.22698709]
 [-0.00857677 -0.16644022]
 [-0.05219184 -0.30067274]
 [-0.05219184 -0.19129774]
 [-0.00141059 -0.36903212]
 [ 0.05327691 -0.24598524]
 [-0.00141059 -0.29481337]
 [-0.00141059 -0.23036024]
 [ 0.00054253 -0.28700087]
 [ 0.00249566 -0.46473524]
 [-0.05219184 -0.15809462]
 [-0.00141059 -0.15614149]
 [ 0.10079823  0.04449728]]"
6,"[[ 0.00054253  0.07845052]
 [ 0.00249566  0.1233724 ]
 [ 0.05327691  0.06673177]
 [-0.00141059 -0.03092448]
 [-0.00141059  0.02376302]
 [-0.00141059  0.00423177]
 [ 0.04741753 -0.02115885]
 [-0.00141059  0.03352865]
 [ 0.00054253  0.08040365]
 [-0.00141059 -0.01529948]
 [ 0.10210503  0.02766927]
 [ 0.05718316  0.12141927]
 [ 0.20366753  0.0139974 ]
 [ 0.00835503  0.2952474 ]
 [-0.05219184  0.25227865]
 [ 0.07085503  0.34407552]
 [-0.05219184  0.3108724 ]
 [-0.05219184  0.21907552]
 [-0.05219184  0.2639974 ]
 [-0.05219184  0.19563802]
 [-0.05219184  0.24251302]]","[[ 0.07845052 -0.13856337]
 [ 0.1233724  -0.19325087]
 [ 0.06673177 -0.24598524]
 [-0.03092448 -0.29481337]
 [ 0.02376302 -0.23036024]
 [ 0.00423177 -0.36903212]
 [-0.02115885  0.10557726]
 [ 0.03352865  0.03135851]
 [ 0.08040365 -0.00184462]
 [-0.01529948  0.05088976]
 [ 0.02766927  0.01768663]
 [ 0.12141927  0.08995226]
 [ 0.0139974   0.00987413]
 [ 0.2952474  -0.33582899]
 [ 0.25227865 -0.30067274]
 [ 0.34407552 -0.29481337]
 [ 0.3108724  -0.19129774]
 [ 0.21907552 -0.48621962]
 [ 0.2639974  -0.49403212]
 [ 0.19563802 -0.57215712]
 [ 0.24251302 -0.57996962]]","[[ 5.42534722e-04 -1.38563368e-01]
 [ 2.49565972e-03 -1.93250868e-01]
 [ 5.32769097e-02 -2.45985243e-01]
 [-1.41059028e-03 -2.94813368e-01]
 [-1.41059028e-03 -2.30360243e-01]
 [-1.41059028e-03 -3.69032118e-01]
 [ 4.74175347e-02  1.05577257e-01]
 [-1.41059028e-03  3.13585069e-02]
 [ 5.42534722e-04 -1.84461806e-03]
 [-1.41059028e-03  5.08897569e-02]
 [ 1.02105035e-01  1.76866319e-02]
 [ 5.71831597e-02  8.99522569e-02]
 [ 2.03667535e-01  9.87413194e-03]
 [ 8.35503472e-03 -3.35828993e-01]
 [-5.21918403e-02 -3.00672743e-01]
 [ 7.08550347e-02 -2.94813368e-01]
 [-5.21918403e-02 -1.91297743e-01]
 [-5.21918403e-02 -4.86219618e-01]
 [-5.21918403e-02 -4.94032118e-01]
 [-5.21918403e-02 -5.72157118e-01]
 [-5.21918403e-02 -5.79969618e-01]]"
7,"[[-0.05219184 -0.01529948]
 [-0.00141059  0.03157552]
 [ 0.00054253  0.07845052]
 [ 0.00249566  0.1233724 ]
 [ 0.00054253  0.06477865]
 [ 0.04741753 -0.02115885]
 [-0.00141059  0.03352865]
 [ 0.00054253  0.08040365]
 [-0.00141059 -0.01529948]
 [ 0.10210503  0.02766927]
 [ 0.05718316  0.12141927]
 [ 0.20366753  0.0139974 ]
 [-0.05219184  0.21907552]
 [-0.05219184  0.2639974 ]
 [-0.05219184  0.19563802]
 [-0.05219184  0.24251302]
 [-0.16742622  0.2171224 ]
 [-0.15136719  0.18812779]
 [-0.09863281  0.23304967]]","[[-0.01529948 -0.15809462]
 [ 0.03157552 -0.15614149]
 [ 0.07845052 -0.13856337]
 [ 0.1233724  -0.19325087]
 [ 0.06477865 -0.28700087]
 [-0.02115885  0.10557726]
 [ 0.03352865  0.03135851]
 [ 0.08040365 -0.00184462]
 [-0.01529948  0.05088976]
 [ 0.02766927  0.01768663]
 [ 0.12141927  0.08995226]
 [ 0.0139974   0.00987413]
 [ 0.21907552 -0.48621962]
 [ 0.2639974  -0.49403212]
 [ 0.19563802 -0.57215712]
 [ 0.24251302 -0.57996962]
 [ 0.2171224  -0.14442274]
 [ 0.18812779 -0.05936105]
 [ 0.23304967 -0.0788923 ]]","[[-5.21918403e-02 -1.58094618e-01]
 [-1.41059028e-03 -1.56141493e-01]
 [ 5.42534722e-04 -1.38563368e-01]
 [ 2.49565972e-03 -1.93250868e-01]
 [ 5.42534722e-04 -2.87000868e-01]
 [ 4.74175347e-02  1.05577257e-01]
 [-1.41059028e-03  3.13585069e-02]
 [ 5.42534722e-04 -1.84461806e-03]
 [-1.41059028e-03  5.08897569e-02]
 [ 1.02105035e-01  1.76866319e-02]
 [ 5.71831597e-02  8.99522569e-02]
 [ 2.03667535e-01  9.87413194e-03]
 [-5.21918403e-02 -4.86219618e-01]
 [-5.21918403e-02 -4.94032118e-01]
 [-5.21918403e-02 -5.72157118e-01]
 [-5.21918403e-02 -5.79969618e-01]
 [-1.67426215e-01 -1.44422743e-01]
 [-1.51367188e-01 -5.93610491e-02]
 [-9.86328125e-02 -7.88922991e-02]]"
8,"[[-0.04199219  0.27992467]
 [-0.10058594  0.14320592]
 [-0.10058594  0.18812779]
 [-0.09863281  0.23304967]
 [-0.09667969  0.28187779]
 [-0.05175781  0.13929967]
 [-0.10058594  0.18812779]
 [-0.09863281  0.23695592]
 [-0.09667969  0.28187779]
 [-0.10058594  0.19008092]
 [-0.15136719  0.18812779]
 [-0.15136719  0.36390904]
 [-0.15136719  0.41078404]
 [-0.15136719  0.45570592]
 [-0.14713542  0.25976562]
 [-0.14322917  0.31445312]
 [-0.14127604  0.36328125]
 [-0.14908854  0.22265625]
 [-0.14713542  0.26953125]
 [-0.19791667  0.31835938]
 [ 0.01660156  0.32289342]
 [-0.14908854  0.20507812]
 [-0.15136719  0.36586217]
 [-0.19596354  0.40429688]
 [-0.25260417  0.4375    ]]","[[ 0.27992467 -0.0242048 ]
 [ 0.14320592 -0.01443917]
 [ 0.18812779 -0.04178292]
 [ 0.23304967 -0.06717355]
 [ 0.28187779 -0.0632673 ]
 [ 0.13929967 -0.01443917]
 [ 0.18812779  0.07149833]
 [ 0.23695592  0.00313895]
 [ 0.28187779 -0.0320173 ]
 [ 0.19008092  0.00509208]
 [ 0.18812779  0.10274833]
 [ 0.36390904 -0.20975167]
 [ 0.41078404 -0.20975167]
 [ 0.45570592 -0.22147042]
 [ 0.25976562 -0.34170387]
 [ 0.31445312 -0.23623512]
 [ 0.36328125 -0.08779762]
 [ 0.22265625 -0.23232887]
 [ 0.26953125 -0.19521949]
 [ 0.31835938 -0.10146949]
 [ 0.32289342  0.04806083]
 [ 0.20507812 -0.40225074]
 [ 0.36586217 -0.44803292]
 [ 0.40429688 -0.33779762]
 [ 0.4375     -0.45303199]]","[[-0.04199219 -0.0242048 ]
 [-0.10058594 -0.01443917]
 [-0.10058594 -0.04178292]
 [-0.09863281 -0.06717355]
 [-0.09667969 -0.0632673 ]
 [-0.05175781 -0.01443917]
 [-0.10058594  0.07149833]
 [-0.09863281  0.00313895]
 [-0.09667969 -0.0320173 ]
 [-0.10058594  0.00509208]
 [-0.15136719  0.10274833]
 [-0.15136719 -0.20975167]
 [-0.15136719 -0.20975167]
 [-0.15136719 -0.22147042]
 [-0.14713542 -0.34170387]
 [-0.14322917 -0.23623512]
 [-0.14127604 -0.08779762]
 [-0.14908854 -0.23232887]
 [-0.14713542 -0.19521949]
 [-0.19791667 -0.10146949]
 [ 0.01660156  0.04806083]
 [-0.14908854 -0.40225074]
 [-0.15136719 -0.44803292]
 [-0.19596354 -0.33779762]
 [-0.25260417 -0.45303199]]"
9,"[[-0.19986979  0.27148438]
 [-0.14908854  0.22265625]
 [-0.19791667  0.31640625]
 [ 0.80208333 -1.4140625 ]
 [ 0.83333333 -1.4140625 ]
 [ 0.74348958 -1.4140625 ]
 [ 0.09570312  0.15755208]
 [ 0.1953125   0.10091146]
 [ 0.20117188  0.14778646]
 [ 0.09960938  0.20442708]
 [-0.00976562  0.20638021]
 [ 0.04296875  0.15950521]
 [-0.00976562  0.20442708]
 [-0.00976562  0.25130208]
 [-0.30983665  0.59463778]
 [-0.25710227  0.41104403]
 [-0.30983665  0.45791903]
 [-0.30983665  0.55166903]
 [-0.30983665  0.59854403]
 [-0.25710227  0.40518466]
 [-0.2590554   0.36221591]
 [-0.25514915  0.44815341]
 [ 0.8034446  -1.27645597]
 [ 0.71946023 -1.27645597]
 [ 0.74485085 -1.27645597]]","[[ 0.27148438 -0.07217262]
 [ 0.22265625 -0.16592262]
 [ 0.31640625 -0.06436012]
 [-1.4140625   1.64462426]
 [-1.4140625   1.57235863]
 [-1.4140625   1.69345238]
 [ 0.15755208  0.11957465]
 [ 0.10091146  0.09418403]
 [ 0.14778646  0.1000434 ]
 [ 0.20442708  0.12934028]
 [ 0.20638021  0.23676215]
 [ 0.15950521  0.2406684 ]
 [ 0.20442708  0.26605903]
 [ 0.25130208  0.28168403]
 [ 0.59463778  0.42649148]
 [ 0.41104403  0.52024148]
 [ 0.45791903  0.48703835]
 [ 0.55166903  0.51633523]
 [ 0.59854403  0.53391335]
 [ 0.40518466  0.39914773]
 [ 0.36221591  0.58078835]
 [ 0.44815341  0.3659446 ]
 [-1.27645597 -1.33132102]
 [-1.27645597 -1.27077415]
 [-1.27645597 -1.2278054 ]]","[[-0.19986979 -0.07217262]
 [-0.14908854 -0.16592262]
 [-0.19791667 -0.06436012]
 [ 0.80208333  1.64462426]
 [ 0.83333333  1.57235863]
 [ 0.74348958  1.69345238]
 [ 0.09570312  0.11957465]
 [ 0.1953125   0.09418403]
 [ 0.20117188  0.1000434 ]
 [ 0.09960938  0.12934028]
 [-0.00976562  0.23676215]
 [ 0.04296875  0.2406684 ]
 [-0.00976562  0.26605903]
 [-0.00976562  0.28168403]
 [-0.30983665  0.42649148]
 [-0.25710227  0.52024148]
 [-0.30983665  0.48703835]
 [-0.30983665  0.51633523]
 [-0.30983665  0.53391335]
 [-0.25710227  0.39914773]
 [-0.2590554   0.58078835]
 [-0.25514915  0.3659446 ]
 [ 0.8034446  -1.33132102]
 [ 0.71946023 -1.27077415]
 [ 0.74485085 -1.2278054 ]]"
10,"[[-0.14474826  0.03613281]
 [-0.03146701  0.07910156]
 [-0.02756076  0.12402344]
 [-0.08224826  0.17675781]
 [-0.13888889  0.22363281]
 [-0.09396701 -0.01074219]
 [-0.09006076  0.03613281]
 [-0.08810764  0.08300781]
 [-0.02756076  0.12402344]
 [-0.08224826  0.17675781]
 [-0.13888889  0.22558594]
 [-0.09006076  0.02441406]
 [-0.03146701  0.07128906]
 [-0.14670139 -0.02636719]
 [-0.12286377  0.38360596]
 [-0.12677002  0.33477783]
 [-0.07012939  0.37969971]
 [-0.06427002  0.42462158]
 [-0.02520752  0.32501221]
 [-0.01739502  0.37188721]
 [-0.06427002  0.42657471]]","[[ 0.03613281 -0.21842448]
 [ 0.07910156 -0.09928385]
 [ 0.12402344 -0.1813151 ]
 [ 0.17675781 -0.06022135]
 [ 0.22363281 -0.00358073]
 [-0.01074219 -0.11490885]
 [ 0.03613281 -0.0406901 ]
 [ 0.08300781 -0.09342448]
 [ 0.12402344 -0.19108073]
 [ 0.17675781 -0.07389323]
 [ 0.22558594 -0.01920573]
 [ 0.02441406 -0.31022135]
 [ 0.07128906 -0.26920573]
 [-0.02636719 -0.3610026 ]
 [ 0.38360596 -0.24725342]
 [ 0.33477783 -0.27459717]
 [ 0.37969971 -0.19256592]
 [ 0.42462158 -0.06365967]
 [ 0.32501221 -0.19256592]
 [ 0.37188721 -0.14569092]
 [ 0.42657471 -0.10858154]]","[[-0.14474826 -0.21842448]
 [-0.03146701 -0.09928385]
 [-0.02756076 -0.1813151 ]
 [-0.08224826 -0.06022135]
 [-0.13888889 -0.00358073]
 [-0.09396701 -0.11490885]
 [-0.09006076 -0.0406901 ]
 [-0.08810764 -0.09342448]
 [-0.02756076 -0.19108073]
 [-0.08224826 -0.07389323]
 [-0.13888889 -0.01920573]
 [-0.09006076 -0.31022135]
 [-0.03146701 -0.26920573]
 [-0.14670139 -0.3610026 ]
 [-0.12286377 -0.24725342]
 [-0.12677002 -0.27459717]
 [-0.07012939 -0.19256592]
 [-0.06427002 -0.06365967]
 [-0.02520752 -0.19256592]
 [-0.01739502 -0.14569092]
 [-0.06427002 -0.10858154]]"
11,"[[-0.07598877  0.33477783]
 [-0.07012939  0.37969971]
 [-0.16490885  0.31210937]
 [-0.11895752  0.43048096]
 [ 0.03235677  0.09140625]
 [ 0.04016927  0.13828125]
 [-0.00670573  0.19296875]
 [-0.0125651   0.15      ]
 [-0.00670573  0.196875  ]
 [-0.06139323  0.19882812]
 [-0.00084635  0.23398437]
 [-0.11803385  0.15195312]]","[[ 0.33477783 -0.14178467]
 [ 0.37969971 -0.09881592]
 [ 0.31210937 -0.08072917]
 [ 0.43048096 -0.07342529]
 [ 0.09140625  0.16731771]
 [ 0.13828125  0.17122396]
 [ 0.19296875  0.17317708]
 [ 0.15        0.27278646]
 [ 0.196875    0.35091146]
 [ 0.19882812  0.40169271]
 [ 0.23398437  0.48372396]
 [ 0.15195312  0.46419271]]","[[-0.07598877 -0.14178467]
 [-0.07012939 -0.09881592]
 [-0.16490885 -0.08072917]
 [-0.11895752 -0.07342529]
 [ 0.03235677  0.16731771]
 [ 0.04016927  0.17122396]
 [-0.00670573  0.17317708]
 [-0.0125651   0.27278646]
 [-0.00670573  0.35091146]
 [-0.06139323  0.40169271]
 [-0.00084635  0.48372396]
 [-0.11803385  0.46419271]]"
